POS predicted(down) actual(top row)VBG,VBG,VBD,VBN,RRB,VBP,WDT,JJ,WP,VBZ,DT,RP,NN,FW,POS,TO,PRP,RB,NNS,NNP,VB,WRB,CC,LS,PDT,RBS,RBR,CD,NNPS,EX,IN,MD,LRB,JJS,JJR,SYM,UH
VBG,412,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBD,0,907,44,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBN,0,81,601,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RRB,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBP,0,0,0,0,375,0,1,0,0,0,0,3,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WDT,0,0,0,0,0,116,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
JJ,72,28,107,0,7,0,1952,1,22,0,0,275,0,0,0,0,43,129,514,52,1,0,0,0,0,0,100,15,0,3,1,0,2,3,2,3
WP,0,0,0,0,0,3,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBZ,0,0,0,0,0,0,0,0,658,0,0,0,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DT,0,0,0,0,0,0,0,0,0,2811,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,1,0
RP,0,0,0,0,0,0,0,0,0,0,68,1,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
NN,40,3,1,0,12,0,27,0,0,6,1,4172,0,0,0,0,6,6,27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FW,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
POS,0,0,0,0,0,0,0,0,2,0,0,0,0,295,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,806,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
RB,0,0,0,0,1,0,24,0,0,5,1,4,0,0,0,0,949,0,5,0,0,2,0,1,0,0,0,0,0,93,0,0,0,0,0,0
NNS,0,0,0,0,0,0,3,0,19,0,0,4,0,0,0,0,0,1881,0,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0
NNP,2,0,0,0,0,0,8,0,0,0,0,33,3,0,0,0,1,0,2624,2,0,0,0,0,0,0,1,44,0,1,2,0,0,0,0,0
VB,0,0,4,0,21,0,1,0,0,0,0,6,0,0,0,0,1,0,1,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDT,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
RBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,8,0,0
CD,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,5,0,0,0,935,0,0,0,0,0,0,0,0,0
NNPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
IN,0,0,0,0,0,4,3,0,0,10,17,0,0,0,0,0,17,0,3,0,0,0,0,0,0,0,0,0,0,3434,0,0,0,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0
LRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
JJS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
JJR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,82,0,0
SYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
